Condition,N,Ntrain,Obs_Accuracy,Fore_Accuracy,Obs_Sensitivity,Fore_Sensitivity,Obs_Specificity,Fore_Specificity,Obs_Regime2_Share,Fore_Regime2_Share,Obs_Majority_Acc,Fore_Majority_Acc,Obs_Balanced_Acc,Fore_Balanced_Acc
"$\mathcal{D}_{50,25}$",50,25,0.8491,0.8538,0.7074,0.8589,0.9072,0.841,0.2956,0.554,0.7044,0.569,0.8073,0.8499
"$\mathcal{D}_{100,25}$",100,25,0.8578,0.8681,0.6924,0.8565,0.9251,0.8795,0.294,0.5517,0.706,0.5543,0.8088,0.868
"$\mathcal{D}_{50,50}$",50,50,0.8752,0.9033,0.821,0.9126,0.9198,0.8678,0.4577,0.7496,0.5533,0.7496,0.8704,0.8902
"$\mathcal{D}_{100,50}$",100,50,0.8759,0.9056,0.8078,0.906,0.9314,0.9026,0.4554,0.739,0.5491,0.739,0.8696,0.9043
