Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\bm{R}_1$,1,0.23,0.0004,0.0125,0.9697,0.0001,0.0085,1.0,0.0006,0.0094,1.0,0.0012,0.0065,1.0
$\bm{R}_1$,2,0.21,-0.0008,0.0144,0.7576,0.0003,0.0091,1.0,0.0001,0.0099,0.9899,0.0013,0.0071,1.0
$\bm{R}_1$,3,0.16,0.0006,0.0108,0.0202,0.0001,0.0081,1.0,0.0003,0.0076,0.5253,0.0003,0.0053,1.0
$\bm{R}_1$,4,0.61,0.0033,0.0239,1.0,-0.0012,0.0196,1.0,-0.0001,0.0186,1.0,-0.0008,0.0138,1.0
$\bm{R}_2$,1,0.82,0.7115,2.6338,0.0,0.3614,1.6265,0.0,0.388,1.7941,0.0,0.2277,1.0001,0.0102
$\bm{R}_2$,2,0.73,0.211,1.196,0.0,-0.0341,0.2727,0.0,0.2362,1.505,0.0,0.0009,0.2851,0.0101
