Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\gamma_1$,1,3.5,0.5124,0.9557,0.9899,0.2727,0.3978,1.0,0.4078,0.5215,1.0,0.3395,0.3898,1.0
$\gamma_2$,1,-1.17,1.0192,1.5647,0.0202,1.1544,1.2167,0.0404,1.0645,1.1689,0.0101,1.0762,1.1044,0.0404
$\bm{\gamma}_3$,1,0.26,-1.7538,3.489,0.0,-0.7593,2.018,0.0606,-0.9954,1.9962,0.0101,-0.6673,1.5779,0.0606
$\bm{\gamma}_3$,2,-0.83,-2.2324,4.6975,0.0,-1.7207,3.54,0.101,-1.069,3.2802,0.0303,-0.8281,2.3695,0.1111
$\bm{\gamma}_4$,1,-0.74,-0.0122,3.167,0.0101,0.2401,1.6242,0.0202,0.4776,2.2884,0.0303,0.3003,1.2569,0.0101
$\bm{\gamma}_4$,2,-0.19,0.2366,6.0415,0.0202,-0.0879,3.2262,0.0404,0.1732,3.3161,0.0,-0.1343,2.1605,0.0303
$P_{12}$,1,0.0,-0.0,0.0,NA,-0.0,0.0,NA,-0.0,0.0,NA,-0.0,0.0,NA
