Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\bm{R}_1$,1,0.23,0.0293,0.0338,1.0,0.0304,0.0337,1.0,0.0344,0.0383,1.0,0.0323,0.0358,1.0
$\bm{R}_1$,2,0.21,0.0296,0.0338,0.9798,0.0316,0.0344,1.0,0.0349,0.0382,1.0,0.033,0.0368,1.0
$\bm{R}_1$,3,0.16,0.0151,0.018,0.6364,0.0158,0.0173,1.0,0.0196,0.0208,1.0,0.0201,0.0208,1.0
$\bm{R}_1$,4,0.61,0.0125,0.0271,1.0,0.0081,0.0208,1.0,0.0138,0.0236,1.0,0.0134,0.0195,1.0
$\bm{R}_2$,1,0.82,1.0291,3.3535,0.0,0.2899,1.3763,0.0104,0.9105,2.9998,0.0225,0.4542,1.9943,0.0532
$\bm{R}_2$,2,0.73,0.3933,2.053,0.0,0.1727,1.4002,0.0104,0.1014,1.1141,0.0222,0.0707,0.9799,0.0532
