Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\gamma_1$,1,1.48,-4.2241,14.6993,0.0947,-5.774,15.4685,0.2778,-5.6919,18.6366,0.2222,-4.9947,14.9409,0.5529
$\gamma_2$,1,-1.17,-4.9969,20.2085,0.0105,1.111,8.4424,0.1222,-5.1084,18.6499,0.0222,1.0093,4.8602,0.2235
$\bm{\gamma}_3$,1,0.26,-29.4006,142.1326,0.0,-5.7542,136.1159,0.1236,-15.2955,81.7199,0.022,-1.1896,31.255,0.2
$\bm{\gamma}_3$,2,-0.83,-14.5144,65.1115,0.0,-9.6729,37.7485,0.1034,-6.3767,96.9179,0.0,-0.7748,13.8877,0.0941
$\bm{\gamma}_4$,1,-0.74,2.6005,103.7596,0.0,5.4389,158.8947,0.0449,-2.2486,196.9135,0.0222,0.0827,30.8135,0.1412
$\bm{\gamma}_4$,2,-0.19,0.7312,64.6646,0.0,0.1571,32.4675,0.0575,7.1737,43.6422,0.0225,-3.3463,12.9299,0.0588
$P_{12}$,1,0.0,-0.0,0.0,NA,-0.0,0.0,NA,-0.0,0.0,NA,-0.0,0.0,NA
