Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\gamma_1$,1,1.48,-10.3568,18.1576,0.4177,-13.2389,20.7357,0.5156,-7.901,17.4013,0.5663,-8.5081,17.3189,0.7324
$\gamma_2$,1,-1.17,-0.1666,11.0414,0.0633,1.6809,5.0222,0.1406,-1.2832,11.8649,0.0602,2.5342,7.3718,0.2676
$\bm{\gamma}_3$,1,0.26,-0.26,0.26,NA,-0.26,0.26,NA,-0.26,0.26,NA,-0.26,0.26,NA
$\bm{\gamma}_3$,2,-0.83,0.83,0.83,NA,0.83,0.83,NA,0.83,0.83,NA,0.83,0.83,NA
$\bm{\gamma}_4$,1,-0.74,0.74,0.74,NA,0.74,0.74,NA,0.74,0.74,NA,0.74,0.74,NA
$\bm{\gamma}_4$,2,-0.19,0.19,0.19,NA,0.19,0.19,NA,0.19,0.19,NA,0.19,0.19,NA
$P_{12}$,1,0.0,-0.0,0.0,NA,-0.0,0.0,NA,-0.0,0.0,NA,0.0,0.0,NA
