Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-3.043337,14.260538,1.433238,-5.852483,-0.234191,,,SimulationMean,gamma1,gamma1
B11_1,-0.00988,0.087214,0.008765,-0.027059,0.007299,,,SimulationMean,B11_1,B11_1
B11_2,0.00706,0.050779,0.005103,-0.002942,0.017062,,,SimulationMean,B11_2,B11_2
B21_1,-0.054692,0.112249,0.011281,-0.076803,-0.032581,,,SimulationMean,B21_1,B21_1
B21_2,-0.047564,0.110955,0.011151,-0.06942,-0.025708,,,SimulationMean,B21_2,B21_2
B22_1,-0.187053,0.308693,0.031025,-0.247862,-0.126244,,,SimulationMean,B22_1,B22_1
B22_2,-0.098803,0.242376,0.02436,-0.146549,-0.051057,,,SimulationMean,B22_2,B22_2
B31d_1,0.889137,0.602671,0.060571,0.770418,1.007856,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.865782,0.563472,0.056631,0.754785,0.976779,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.774646,0.219238,0.022034,0.731459,0.817833,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.894857,0.12761,0.012825,0.86972,0.919994,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.032764,0.21378,0.021486,-0.009349,0.074877,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.039329,0.12431,0.012494,-0.063817,-0.014841,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.112727,0.164633,0.016546,0.080297,0.145157,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.015048,0.080583,0.008099,-0.000826,0.030922,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.027897,0.009228,0.000927,0.02608,0.029714,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.020803,0.004985,0.000501,0.019821,0.021785,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.273728,0.012254,0.001232,0.271313,0.276143,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.254944,0.012641,0.001271,0.252453,0.257435,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.192474,0.008229,0.000827,0.190853,0.194095,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.633322,0.019439,0.001954,0.629492,0.637152,,,SimulationMean,R1d_4,R1d_4
R2d_1,0.936681,0.563231,0.056607,0.825731,1.047631,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.753381,0.323775,0.032541,0.689601,0.817161,,,SimulationMean,R2d_2,R2d_2
gamma2,-0.222944,2.726841,0.274058,-0.760098,0.31421,,,SimulationMean,gamma2,gamma2
B12_1,0.186535,0.185982,0.018692,0.149899,0.223171,,,SimulationMean,B12_1,B12_1
B12_2,0.270549,0.281778,0.02832,0.215042,0.326056,,,SimulationMean,B12_2,B12_2
gamma3_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_2,gamma4_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.031139,0.019946,0.002005,0.027209,0.035069,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.039186,0.018906,0.0019,0.035462,0.04291,,,SimulationMean,Q2d_2,Q2d_2
P2,0.653832,0.107902,0.010845,0.632576,0.675088,,,SimulationMean,P2,P2
