Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-1.58061,12.862071,1.292687,-4.114277,0.953057,,,SimulationMean,gamma1,gamma1
B11_1,0.010257,0.043095,0.004331,0.001768,0.018746,,,SimulationMean,B11_1,B11_1
B11_2,0.007932,0.057947,0.005824,-0.003483,0.019347,,,SimulationMean,B11_2,B11_2
B21_1,-0.067776,0.130197,0.013085,-0.093423,-0.042129,,,SimulationMean,B21_1,B21_1
B21_2,-0.058986,0.1129,0.011347,-0.081226,-0.036746,,,SimulationMean,B21_2,B21_2
B22_1,-0.209319,0.330963,0.033263,-0.274514,-0.144124,,,SimulationMean,B22_1,B22_1
B22_2,-0.060642,0.186268,0.018721,-0.097335,-0.023949,,,SimulationMean,B22_2,B22_2
B31d_1,0.866025,0.404835,0.040687,0.786278,0.945772,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.833274,0.481895,0.048432,0.738347,0.928201,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.744837,0.218232,0.021933,0.701848,0.787826,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.922094,0.085056,0.008548,0.90534,0.938848,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.033386,0.144162,0.014489,0.004988,0.061784,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.021222,0.1448,0.014553,-0.049746,0.007302,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.16738,0.198596,0.01996,0.128258,0.206502,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.006099,0.061133,0.006144,-0.005943,0.018141,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.03084,0.015151,0.001523,0.027855,0.033825,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.021413,0.005364,0.000539,0.020357,0.022469,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.269776,0.015541,0.001562,0.266714,0.272838,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.250281,0.013135,0.00132,0.247694,0.252868,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.190147,0.008102,0.000814,0.188552,0.191742,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.633125,0.019699,0.00198,0.629244,0.637006,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.965221,3.176891,0.31929,1.339413,2.591029,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.938263,1.405525,0.141261,0.661391,1.215135,,,SimulationMean,R2d_2,R2d_2
gamma2,-1.937501,14.940649,1.501592,-4.880621,1.005619,,,SimulationMean,gamma2,gamma2
B12_1,0.223613,0.206951,0.020799,0.182847,0.264379,,,SimulationMean,B12_1,B12_1
B12_2,0.15384,0.170434,0.017129,0.120267,0.187413,,,SimulationMean,B12_2,B12_2
gamma3_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_2,gamma4_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.029245,0.061638,0.006195,0.017103,0.041387,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.027571,0.052426,0.005269,0.017244,0.037898,,,SimulationMean,Q2d_2,Q2d_2
P2,0.710631,0.201,0.020201,0.671037,0.750225,,,SimulationMean,P2,P2
