Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,25,R1d_3,0.16,0.192474,0.008229,0.000827,0.032474,20.3,0.03349,1.0,1.0,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,R1d_4,0.61,0.633322,0.019439,0.001954,0.023322,3.82,0.030298,0.9697,1.0,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,R2d_1,0.82,0.936681,0.563231,0.056607,0.116681,14.23,0.572398,1.0,0.0,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,R2d_2,0.73,0.753381,0.323775,0.032541,0.023381,3.2,0.322983,1.0,0.0,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,gamma2,-1.17,-0.222944,2.726841,0.274058,0.947056,80.94,2.873581,0.7037,0.0864,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,B12_1,0.45,0.186535,0.185982,0.018692,-0.263465,-58.55,0.321953,,,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,B12_2,0.22,0.270549,0.281778,0.02832,0.050549,22.98,0.284872,,,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,gamma3_1,0.26,0.0,0.0,0.0,-0.26,-100.0,0.26,,,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,gamma3_2,-0.83,0.0,0.0,0.0,0.83,100.0,0.83,,,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,gamma4_1,-0.74,0.0,0.0,0.0,0.74,100.0,0.74,,,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,gamma4_2,-0.19,0.0,0.0,0.0,0.19,100.0,0.19,,,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,Q2d_1,0.16,0.031139,0.019946,0.002005,-0.128861,-80.54,0.130381,,,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,Q2d_2,0.12,0.039186,0.018906,0.0019,-0.080814,-67.35,0.082975,,,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,P2,0.2,0.653832,0.107902,0.010845,0.453832,226.92,0.466357,,,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,LogLikelihood,,-3.7229,0.0283,,,,,,,99,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
two_stage,100,25,ConvergenceRate,,0.99,,,,,,,,100,-3.7229,0.5026,0.5274,0.6073,0.5329,0.6373,0.6673,0.4124,0.294,0.706,0.5793,0.5553,0.6043,0.7855,0.5247,0.5517,0.5543
