Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-5.002044,14.994702,1.522481,-7.986107,-2.017981,,,SimulationMean,gamma1,gamma1
B11_1,0.005307,0.074524,0.007567,-0.009524,0.020138,,,SimulationMean,B11_1,B11_1
B11_2,0.007699,0.07188,0.007298,-0.006605,0.022003,,,SimulationMean,B11_2,B11_2
B21_1,-0.115686,0.15904,0.016148,-0.147336,-0.084036,,,SimulationMean,B21_1,B21_1
B21_2,-0.126683,0.169037,0.017163,-0.160322,-0.093044,,,SimulationMean,B21_2,B21_2
B22_1,-0.213072,0.260015,0.0264,-0.264816,-0.161328,,,SimulationMean,B22_1,B22_1
B22_2,-0.076399,0.14851,0.015079,-0.105954,-0.046844,,,SimulationMean,B22_2,B22_2
B31d_1,0.832065,0.613049,0.062246,0.710063,0.954067,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.677497,0.730535,0.074175,0.532114,0.82288,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.746152,0.209748,0.021297,0.70441,0.787894,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.938954,0.066826,0.006785,0.925655,0.952253,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.039032,0.169966,0.017257,0.005208,0.072856,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.050265,0.248198,0.025201,-0.099659,-0.000871,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.158661,0.184265,0.018709,0.121991,0.195331,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.008505,0.053662,0.005449,-0.002175,0.019185,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.035718,0.018715,0.0019,0.031994,0.039442,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.022318,0.004554,0.000462,0.021412,0.023224,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.266678,0.016072,0.001632,0.263479,0.269877,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.247522,0.016369,0.001662,0.244264,0.25078,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.188581,0.005881,0.000597,0.187411,0.189751,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.631091,0.014015,0.001423,0.628302,0.63388,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.087953,1.389167,0.141049,0.811497,1.364409,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.774664,0.293479,0.029798,0.71626,0.833068,,,SimulationMean,R2d_2,R2d_2
gamma2,-0.083871,1.689746,0.171568,-0.420144,0.252402,,,SimulationMean,gamma2,gamma2
B12_1,0.194254,0.179664,0.018242,0.1585,0.230008,,,SimulationMean,B12_1,B12_1
B12_2,0.12099,0.143589,0.014579,0.092415,0.149565,,,SimulationMean,B12_2,B12_2
gamma3_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_2,gamma4_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.039115,0.04137,0.0042,0.030883,0.047347,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.033719,0.026608,0.002702,0.028423,0.039015,,,SimulationMean,Q2d_2,Q2d_2
P2,0.639682,0.103515,0.01051,0.619082,0.660282,,,SimulationMean,P2,P2
