Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,8.373777,10.57529,1.062857,6.290577,10.456977,,,SimulationMean,gamma1,gamma1
B11_1,0.013125,0.052586,0.005285,0.002766,0.023484,,,SimulationMean,B11_1,B11_1
B11_2,0.016525,0.046139,0.004637,0.007436,0.025614,,,SimulationMean,B11_2,B11_2
B21_1,-0.056779,0.10476,0.010529,-0.077416,-0.036142,,,SimulationMean,B21_1,B21_1
B21_2,-0.053422,0.135617,0.01363,-0.080137,-0.026707,,,SimulationMean,B21_2,B21_2
B22_1,-0.29447,1.008153,0.101323,-0.493063,-0.095877,,,SimulationMean,B22_1,B22_1
B22_2,-0.057139,0.166349,0.016719,-0.089908,-0.02437,,,SimulationMean,B22_2,B22_2
B31d_1,0.861348,0.307788,0.030934,0.800717,0.921979,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.843521,0.415821,0.041792,0.761609,0.925433,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.739267,0.30413,0.030566,0.679358,0.799176,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.942508,0.109174,0.010972,0.921003,0.964013,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.0221,0.065558,0.006589,0.009186,0.035014,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.022755,0.094383,0.009486,-0.041348,-0.004162,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.160615,0.250972,0.025224,0.111176,0.210054,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.013731,0.057316,0.00576,0.002441,0.025021,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.037553,0.015408,0.001549,0.034517,0.040589,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.025814,0.008982,0.000903,0.024044,0.027584,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.265497,0.017609,0.00177,0.262028,0.268966,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.245344,0.015614,0.001569,0.242269,0.248419,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.189236,0.011337,0.001139,0.187004,0.191468,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.634871,0.025156,0.002528,0.629916,0.639826,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.860687,2.907341,0.292199,1.287977,2.433397,,,SimulationMean,R2d_1,R2d_1
R2d_2,1.066481,1.818621,0.182778,0.708236,1.424726,,,SimulationMean,R2d_2,R2d_2
gamma2,-4.439873,12.842535,1.290723,-6.96969,-1.910056,,,SimulationMean,gamma2,gamma2
gamma3_1,-2.604909,40.206302,4.040885,-10.525044,5.315226,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-47.711189,167.728075,16.857306,-80.751509,-14.670869,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,17.6374,82.860956,8.327839,1.314836,33.959964,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,7.230821,51.080983,5.133832,-2.83149,17.293132,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.18526,0.186702,0.018764,0.148483,0.222037,,,SimulationMean,B12_1,B12_1
B12_2,0.158166,0.250912,0.025218,0.108739,0.207593,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.030612,0.042591,0.004281,0.022221,0.039003,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.030715,0.020061,0.002016,0.026764,0.034666,,,SimulationMean,Q2d_2,Q2d_2
P2,0.711187,0.211471,0.021254,0.669529,0.752845,,,SimulationMean,P2,P2
