Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-0.139888,15.086632,1.516264,-3.111765,2.831989,,,SimulationMean,gamma1,gamma1
B11_1,0.001611,0.063163,0.006348,-0.010831,0.014053,,,SimulationMean,B11_1,B11_1
B11_2,0.010798,0.050962,0.005122,0.000759,0.020837,,,SimulationMean,B11_2,B11_2
B21_1,-0.058857,0.117925,0.011852,-0.082087,-0.035627,,,SimulationMean,B21_1,B21_1
B21_2,-0.055084,0.127661,0.01283,-0.080231,-0.029937,,,SimulationMean,B21_2,B21_2
B22_1,-0.101461,0.14874,0.014949,-0.130761,-0.072161,,,SimulationMean,B22_1,B22_1
B22_2,-0.050082,0.123828,0.012445,-0.074474,-0.02569,,,SimulationMean,B22_2,B22_2
B31d_1,0.839634,0.567341,0.05702,0.727875,0.951393,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.837533,0.511179,0.051375,0.736838,0.938228,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.839231,0.160124,0.016093,0.807689,0.870773,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.955788,0.073257,0.007363,0.941357,0.970219,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.039709,0.150566,0.015132,0.01005,0.069368,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.014435,0.069767,0.007012,-0.028179,-0.000691,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.08815,0.106675,0.010721,0.067137,0.109163,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.012326,0.039346,0.003954,0.004576,0.020076,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.032421,0.009983,0.001003,0.030455,0.034387,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.024461,0.00561,0.000564,0.023356,0.025566,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.26977,0.012293,0.001236,0.267347,0.272193,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.250949,0.012426,0.001249,0.248501,0.253397,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.190098,0.008166,0.000821,0.188489,0.191707,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.630873,0.019481,0.001958,0.627035,0.634711,,,SimulationMean,R1d_4,R1d_4
R2d_1,0.942104,0.430946,0.043312,0.857212,1.026996,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.831276,0.998178,0.100321,0.634647,1.027905,,,SimulationMean,R2d_2,R2d_2
gamma2,-1.442822,5.699649,0.572836,-2.565581,-0.320063,,,SimulationMean,gamma2,gamma2
gamma3_1,-13.069174,53.741596,5.401234,-23.655593,-2.482755,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-21.595736,61.187547,6.14958,-33.648913,-9.542559,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,26.897255,253.348941,25.462527,-23.009298,76.803808,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,-4.814834,35.610506,3.578991,-11.829656,2.199988,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.135211,0.128251,0.01289,0.109947,0.160475,,,SimulationMean,B12_1,B12_1
B12_2,0.132781,0.15725,0.015804,0.101805,0.163757,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.028662,0.022378,0.002249,0.024254,0.03307,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.036482,0.018403,0.00185,0.032856,0.040108,,,SimulationMean,Q2d_2,Q2d_2
P2,0.664499,0.116398,0.011698,0.641571,0.687427,,,SimulationMean,P2,P2
