Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\bm{R}_1$,1,0.23,0.0004,0.0124,0.9293,0.0001,0.0086,1.0,0.0008,0.0095,1.0,0.0013,0.0066,1.0
$\bm{R}_1$,2,0.21,-0.0007,0.0145,0.7475,0.0004,0.0092,1.0,0.0001,0.0099,0.9798,0.0013,0.0072,1.0
$\bm{R}_1$,3,0.16,0.0008,0.0104,0.0101,0.0001,0.0079,0.9899,0.0006,0.0078,0.5758,0.0005,0.0054,1.0
$\bm{R}_1$,4,0.61,0.0034,0.0237,1.0,-0.0011,0.0195,1.0,0.0,0.0185,1.0,-0.0006,0.0138,1.0
$\bm{R}_2$,1,0.82,0.7493,2.692,0.0,0.337,1.5011,0.0,0.5183,2.261,0.0,0.2629,1.1903,0.0102
$\bm{R}_2$,2,0.73,0.2604,1.4361,0.0,-0.0316,0.288,0.0,0.2509,1.6399,0.0,0.0099,0.3112,0.0101
