Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\bm{R}_1$,1,0.23,0.0355,0.0396,1.0,0.0398,0.0416,1.0,0.0367,0.0402,1.0,0.0368,0.0391,1.0
$\bm{R}_1$,2,0.21,0.0353,0.0386,1.0,0.0409,0.0428,1.0,0.0371,0.0392,1.0,0.0375,0.0402,1.0
$\bm{R}_1$,3,0.16,0.0292,0.0313,0.899,0.0301,0.0312,1.0,0.0283,0.0293,0.9899,0.028,0.0286,1.0
$\bm{R}_1$,4,0.61,0.0249,0.0353,1.0,0.0209,0.0285,1.0,0.0214,0.0292,1.0,0.0205,0.0248,1.0
$\bm{R}_2$,1,0.82,1.0407,3.0741,0.0112,0.1221,0.4458,0.0,0.9157,3.1527,0.0222,0.1659,0.5348,0.0103
$\bm{R}_2$,2,0.73,0.3365,1.8404,0.0112,0.1013,0.9983,0.0,0.2658,1.8386,0.0215,0.1938,1.5599,0.0104
