Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,3.671671,0.338014,0.033972,3.605086,3.738256,,,SimulationMean,gamma1,gamma1
B11_1,-0.05842,0.071098,0.007146,-0.072426,-0.044414,,,SimulationMean,B11_1,B11_1
B11_2,-0.028247,0.062542,0.006286,-0.040568,-0.015926,,,SimulationMean,B11_2,B11_2
B21_1,-0.260317,0.099156,0.009966,-0.27985,-0.240784,,,SimulationMean,B21_1,B21_1
B21_2,-0.229651,0.08552,0.008595,-0.246497,-0.212805,,,SimulationMean,B21_2,B21_2
B22_1,-0.33577,0.118803,0.01194,-0.359172,-0.312368,,,SimulationMean,B22_1,B22_1
B22_2,-0.168768,0.079906,0.008031,-0.184509,-0.153027,,,SimulationMean,B22_2,B22_2
B31d_1,0.351101,0.076029,0.007641,0.336125,0.366077,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.210114,0.094836,0.009531,0.191433,0.228795,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.395641,0.107298,0.010784,0.374504,0.416778,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.691278,0.03878,0.003898,0.683638,0.698918,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.052491,0.073237,0.007361,0.038063,0.066919,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.075193,0.11064,0.01112,-0.096988,-0.053398,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.241301,0.119204,0.01198,0.21782,0.264782,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.010284,0.042054,0.004227,0.001999,0.018569,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.084645,0.008848,0.000889,0.082903,0.086387,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.052216,0.006392,0.000642,0.050958,0.053474,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.230751,0.009493,0.000954,0.228881,0.232621,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.210147,0.009912,0.000996,0.208195,0.212099,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.160645,0.007801,0.000784,0.159108,0.162182,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.610023,0.01857,0.001866,0.606366,0.61368,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.338301,2.212038,0.222318,0.902558,1.774044,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.980866,1.628855,0.163706,0.660002,1.30173,,,SimulationMean,R2d_2,R2d_2
Q2d_1,0.192761,0.055195,0.005547,0.181889,0.203633,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.145057,0.0435,0.004372,0.136488,0.153626,,,SimulationMean,Q2d_2,Q2d_2
gamma2,-0.148038,0.533457,0.053614,-0.253121,-0.042955,,,SimulationMean,gamma2,gamma2
gamma3_1,0.394735,0.440127,0.044234,0.308036,0.481434,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-0.477277,0.594813,0.059781,-0.594448,-0.360106,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-0.218849,0.703953,0.07075,-0.357519,-0.080179,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,-0.025416,0.817375,0.082149,-0.186428,0.135596,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.378174,0.096559,0.009705,0.359152,0.397196,,,SimulationMean,B12_1,B12_1
B12_2,0.251348,0.070812,0.007117,0.237399,0.265297,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
P2,0.682362,0.188355,0.01893,0.645259,0.719465,,,SimulationMean,P2,P2
