Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,50,50,gamma1,3.5,3.671671,0.338014,0.033972,0.171671,4.9,0.377585,0.9495,1.0,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B11_1,-0.05,-0.05842,0.071098,0.007146,-0.00842,-16.84,0.071238,0.9899,0.0202,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B11_2,-0.06,-0.028247,0.062542,0.006286,0.031753,52.92,0.069858,0.9899,0.0202,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B21_1,-0.87,-0.260317,0.099156,0.009966,0.609683,70.08,0.617613,0.0909,0.202,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B21_2,-0.77,-0.229651,0.08552,0.008595,0.540349,70.18,0.547007,0.0404,0.202,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B22_1,-0.92,-0.33577,0.118803,0.01194,0.58423,63.5,0.596067,0.101,0.4343,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B22_2,-0.45,-0.168768,0.079906,0.008031,0.281232,62.5,0.292254,0.6364,0.0303,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B31d_1,0.33,0.351101,0.076029,0.007641,0.021101,6.39,0.078532,0.9293,0.9899,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B31d_2,0.15,0.210114,0.094836,0.009531,0.060114,40.08,0.111879,0.9192,0.3232,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B32d_1,0.31,0.395641,0.107298,0.010784,0.085641,27.63,0.136861,0.6263,1.0,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B32d_2,0.69,0.691278,0.03878,0.003898,0.001278,0.19,0.038605,0.9596,1.0,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B41d_1,0.11,0.052491,0.073237,0.007361,-0.057509,-52.28,0.092826,0.9596,0.101,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B41d_2,-0.3,-0.075193,0.11064,0.01112,0.224807,74.94,0.250311,0.6162,0.0909,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B42d_1,0.57,0.241301,0.119204,0.01198,-0.328699,-57.67,0.34944,0.0606,0.7576,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,B42d_2,0.01,0.010284,0.042054,0.004227,0.000284,2.84,0.041842,0.9697,0.0303,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,Q1d_1,0.08,0.084645,0.008848,0.000889,0.004645,5.81,0.009953,1.0,0.0,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,Q1d_2,0.05,0.052216,0.006392,0.000642,0.002216,4.43,0.006735,1.0,0.0,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,R1d_1,0.23,0.230751,0.009493,0.000954,0.000751,0.33,0.009475,1.0,1.0,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,R1d_2,0.21,0.210147,0.009912,0.000996,0.000147,0.07,0.009863,1.0,0.9798,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,R1d_3,0.16,0.160645,0.007801,0.000784,0.000645,0.4,0.007788,1.0,0.5758,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,R1d_4,0.61,0.610023,0.01857,0.001866,2.3e-05,0.0,0.018476,1.0,1.0,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,R2d_1,0.82,1.338301,2.212038,0.222318,0.518301,63.21,2.261045,1.0,0.0,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,R2d_2,0.73,0.980866,1.628855,0.163706,0.250866,34.37,1.63991,1.0,0.0,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,Q2d_1,0.16,0.192761,0.055195,0.005547,0.032761,20.48,0.063945,1.0,0.0,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
two_stage,50,50,Q2d_2,0.12,0.145057,0.0435,0.004372,0.025057,20.88,0.05001,1.0,0.0,99,-3.6382,0.5064,0.5418,0.875,0.8228,0.9176,0.8997,0.8561,0.4577,0.5533,0.904,0.9077,0.8871,0.963,0.9326,0.7496,0.7496
