Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,3.580105,0.252917,0.025419,3.530284,3.629926,,,SimulationMean,gamma1,gamma1
B11_1,-0.055709,0.053449,0.005372,-0.066238,-0.04518,,,SimulationMean,B11_1,B11_1
B11_2,-0.030776,0.046673,0.004691,-0.03997,-0.021582,,,SimulationMean,B11_2,B11_2
B21_1,-0.258597,0.074547,0.007492,-0.273281,-0.243913,,,SimulationMean,B21_1,B21_1
B21_2,-0.234574,0.070429,0.007078,-0.248447,-0.220701,,,SimulationMean,B21_2,B21_2
B22_1,-0.332414,0.104182,0.010471,-0.352937,-0.311891,,,SimulationMean,B22_1,B22_1
B22_2,-0.17272,0.073838,0.007421,-0.187265,-0.158175,,,SimulationMean,B22_2,B22_2
B31d_1,0.355191,0.063306,0.006362,0.342721,0.367661,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.176445,0.088642,0.008909,0.158983,0.193907,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.407576,0.102582,0.01031,0.387368,0.427784,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.676854,0.044747,0.004497,0.66804,0.685668,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.044474,0.055951,0.005623,0.033453,0.055495,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.074522,0.085814,0.008625,-0.091427,-0.057617,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.232648,0.106089,0.010662,0.21175,0.253546,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.008589,0.044656,0.004488,-0.000207,0.017385,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.087855,0.006955,0.000699,0.086485,0.089225,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.053742,0.007206,0.000724,0.052323,0.055161,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.230127,0.008646,0.000869,0.228424,0.23183,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.210433,0.009204,0.000925,0.20862,0.212246,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.160126,0.007954,0.000799,0.15856,0.161692,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.608851,0.019613,0.001971,0.604988,0.612714,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.156997,1.470215,0.147762,0.867383,1.446611,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.698361,0.287721,0.028917,0.641684,0.755038,,,SimulationMean,R2d_2,R2d_2
Q2d_1,0.198757,0.047993,0.004823,0.189304,0.20821,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.161077,0.038942,0.003914,0.153406,0.168748,,,SimulationMean,Q2d_2,Q2d_2
gamma2,-0.120292,0.460795,0.046312,-0.211064,-0.02952,,,SimulationMean,gamma2,gamma2
gamma3_1,0.304788,0.429259,0.043142,0.22023,0.389346,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-0.369914,0.434908,0.04371,-0.455586,-0.284242,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-0.151859,0.599464,0.060248,-0.269945,-0.033773,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,-0.15642,0.658535,0.066185,-0.286143,-0.026697,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.37197,0.09679,0.009728,0.352903,0.391037,,,SimulationMean,B12_1,B12_1
B12_2,0.26808,0.066967,0.00673,0.254889,0.281271,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
P2,0.659029,0.111029,0.011159,0.637157,0.680901,,,SimulationMean,P2,P2
