Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,3.697247,0.503002,0.050554,3.598161,3.796333,,,SimulationMean,gamma1,gamma1
B11_1,-0.054511,0.073517,0.007389,-0.068993,-0.040029,,,SimulationMean,B11_1,B11_1
B11_2,-0.032393,0.069352,0.00697,-0.046054,-0.018732,,,SimulationMean,B11_2,B11_2
B21_1,-0.247649,0.095593,0.009607,-0.266479,-0.228819,,,SimulationMean,B21_1,B21_1
B21_2,-0.2289,0.09239,0.009286,-0.247101,-0.210699,,,SimulationMean,B21_2,B21_2
B22_1,-0.32991,0.154302,0.015508,-0.360306,-0.299514,,,SimulationMean,B22_1,B22_1
B22_2,-0.182102,0.107828,0.010837,-0.203343,-0.160861,,,SimulationMean,B22_2,B22_2
B31d_1,0.343654,0.098033,0.009853,0.324342,0.362966,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.165968,0.126732,0.012737,0.141003,0.190933,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.390593,0.136548,0.013724,0.363694,0.417492,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.672351,0.052788,0.005305,0.661953,0.682749,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.046295,0.088456,0.00889,0.028871,0.063719,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.079899,0.112825,0.011339,-0.102123,-0.057675,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.218228,0.156131,0.015692,0.187472,0.248984,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.014953,0.063365,0.006368,0.002472,0.027434,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.086377,0.010182,0.001023,0.084372,0.088382,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.052244,0.009403,0.000945,0.050392,0.054096,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.230373,0.012485,0.001255,0.227913,0.232833,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.209329,0.014521,0.001459,0.206469,0.212189,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.160804,0.010451,0.00105,0.158746,0.162862,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.613365,0.023571,0.002369,0.608722,0.618008,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.569282,2.598729,0.261182,1.057365,2.081199,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.990411,1.419475,0.142663,0.710792,1.27003,,,SimulationMean,R2d_2,R2d_2
Q2d_1,0.190906,0.065332,0.006566,0.178037,0.203775,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.15872,0.053981,0.005425,0.148087,0.169353,,,SimulationMean,Q2d_2,Q2d_2
gamma2,-0.154969,0.73709,0.07408,-0.300166,-0.009772,,,SimulationMean,gamma2,gamma2
gamma3_1,0.385071,0.697254,0.070077,0.24772,0.522422,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-0.510086,0.876583,0.0881,-0.682762,-0.33741,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-0.253164,1.100322,0.110586,-0.469913,-0.036415,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.021296,1.36444,0.137131,-0.247481,0.290073,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.382094,0.123504,0.012413,0.357765,0.406423,,,SimulationMean,B12_1,B12_1
B12_2,0.27077,0.106226,0.010676,0.249845,0.291695,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
P2,0.706662,0.198811,0.019981,0.667499,0.745825,,,SimulationMean,P2,P2
