Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,50,25,R1d_4,0.61,0.613365,0.023571,0.002369,0.003365,0.55,0.023692,1.0,1.0,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,R2d_1,0.82,1.569282,2.598729,0.261182,0.749282,91.38,2.691951,1.0,0.0,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,R2d_2,0.73,0.990411,1.419475,0.142663,0.260411,35.67,1.436096,1.0,0.0,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,Q2d_1,0.16,0.190906,0.065332,0.006566,0.030906,19.32,0.071975,1.0,0.0,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,Q2d_2,0.12,0.15872,0.053981,0.005425,0.03872,32.27,0.06621,1.0,0.0,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,gamma2,-1.17,-0.154969,0.73709,0.07408,1.015031,86.75,1.252238,0.7778,0.0101,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,gamma3_1,0.26,0.385071,0.697254,0.070077,0.125071,48.1,0.704908,0.9899,0.0303,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,gamma3_2,-0.83,-0.510086,0.876583,0.0881,0.319914,38.54,0.928967,0.9899,0.0101,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,gamma4_1,-0.74,-0.253164,1.100322,0.110586,0.486836,65.79,1.198118,0.9798,0.0101,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,gamma4_2,-0.19,0.021296,1.36444,0.137131,0.211296,111.21,1.373877,0.9697,0.0303,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,B12_1,0.45,0.382094,0.123504,0.012413,-0.067906,-15.09,0.140394,,,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,B12_2,0.22,0.27077,0.106226,0.010676,0.05077,23.08,0.11725,,,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,P2,0.2,0.706662,0.198811,0.019981,0.506662,253.33,0.543905,,,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,LogLikelihood,,-3.6965,0.0392,,,,,,,99,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
two_stage,50,25,ConvergenceRate,,0.99,,,,,,,,100,-3.6965,0.5064,0.5418,0.8515,0.7112,0.9085,0.7864,0.7371,0.2956,0.7044,0.858,0.844,0.8689,0.8994,0.8652,0.554,0.569
