Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,25,R1d_4,0.61,0.608851,0.019613,0.001971,-0.001149,-0.19,0.019547,1.0,1.0,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,R2d_1,0.82,1.156997,1.470215,0.147762,0.336997,41.1,1.501088,1.0,0.0,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,R2d_2,0.73,0.698361,0.287721,0.028917,-0.031639,-4.33,0.288007,1.0,0.0,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,Q2d_1,0.16,0.198757,0.047993,0.004823,0.038757,24.22,0.061499,1.0,0.0,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,Q2d_2,0.12,0.161077,0.038942,0.003914,0.041077,34.23,0.056467,1.0,0.0,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,gamma2,-1.17,-0.120292,0.460795,0.046312,1.049708,89.72,1.145458,0.202,0.0808,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,gamma3_1,0.26,0.304788,0.429259,0.043142,0.044788,17.23,0.429428,0.9394,0.101,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,gamma3_2,-0.83,-0.369914,0.434908,0.04371,0.460086,55.43,0.631596,0.8687,0.0505,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,gamma4_1,-0.74,-0.151859,0.599464,0.060248,0.588141,79.48,0.837638,0.8182,0.1212,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,gamma4_2,-0.19,-0.15642,0.658535,0.066185,0.03358,17.67,0.656061,0.9596,0.0505,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
two_stage,100,25,B12_1,0.45,0.37197,0.09679,0.009728,-0.07803,-17.34,0.123945,,,99,-3.7054,0.5026,0.5274,0.8578,0.6946,0.9242,0.8026,0.7398,0.294,0.706,0.867,0.852,0.8824,0.9036,0.8747,0.5517,0.5543
