Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\gamma_1$,1,3.5,NA,NA,NA,-3.6399,15.4453,0.4432,-0.5533,10.36,0.3093,-6.4491,18.3347,0.6628
$\gamma_2$,1,-1.17,NA,NA,NA,-0.2728,5.6773,0.0682,-1.5001,14.361,0.0206,0.2332,5.7049,0.1047
$\bm{\gamma}_3$,1,0.26,NA,NA,NA,-13.3292,55.1058,0.1023,-28.5142,145.5973,0.0104,-19.445,146.007,0.1647
$\bm{\gamma}_3$,2,-0.83,NA,NA,NA,-20.7657,64.322,0.2159,-28.2624,132.0943,0.0625,-10.0201,27.6095,0.1412
$\bm{\gamma}_4$,1,-0.74,NA,NA,NA,27.6373,253.5767,0.0795,8.2934,63.2472,0.0104,-4.5911,58.7527,0.1059
$\bm{\gamma}_4$,2,-0.19,NA,NA,NA,-4.6248,35.7308,0.1136,14.6189,97.1827,0.0521,29.9654,262.5315,0.0941
$P_{12}$,1,0.0,NA,NA,NA,-0.0,0.0,NA,-0.0,0.0,NA,-0.0,0.0,NA
