Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,3.568328,0.229328,0.023048,3.523154,3.613502,,,SimulationMean,gamma1,gamma1
B11_1,-0.052973,0.053626,0.00539,-0.063537,-0.042409,,,SimulationMean,B11_1,B11_1
B11_2,-0.030953,0.046931,0.004717,-0.040198,-0.021708,,,SimulationMean,B11_2,B11_2
B21_1,-0.258965,0.073595,0.007397,-0.273463,-0.244467,,,SimulationMean,B21_1,B21_1
B21_2,-0.235446,0.069365,0.006971,-0.249109,-0.221783,,,SimulationMean,B21_2,B21_2
B22_1,-0.335895,0.099192,0.009969,-0.355434,-0.316356,,,SimulationMean,B22_1,B22_1
B22_2,-0.168807,0.069491,0.006984,-0.182496,-0.155118,,,SimulationMean,B22_2,B22_2
B31d_1,0.357434,0.05953,0.005983,0.345707,0.369161,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.175486,0.088413,0.008886,0.158069,0.192903,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.405212,0.101932,0.010245,0.385132,0.425292,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.676876,0.043599,0.004382,0.668287,0.685465,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.045239,0.055544,0.005582,0.034298,0.05618,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.072792,0.079133,0.007953,-0.08838,-0.057204,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.238678,0.102011,0.010253,0.218582,0.258774,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.011417,0.04151,0.004172,0.00324,0.019594,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.088102,0.00696,0.0007,0.08673,0.089474,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.053478,0.007299,0.000734,0.052039,0.054917,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.23008,0.00857,0.000861,0.228392,0.231768,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.210414,0.009148,0.000919,0.208613,0.212215,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.160198,0.008055,0.00081,0.15861,0.161786,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.60885,0.019599,0.00197,0.604989,0.612711,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.178989,1.528891,0.153659,0.877817,1.480161,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.707173,0.285349,0.028679,0.650962,0.763384,,,SimulationMean,R2d_2,R2d_2
Q2d_1,0.197254,0.047778,0.004802,0.187842,0.206666,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.16241,0.03796,0.003815,0.154933,0.169887,,,SimulationMean,Q2d_2,Q2d_2
gamma2,-0.06447,0.317899,0.03195,-0.127092,-0.001848,,,SimulationMean,gamma2,gamma2
B12_1,0.372788,0.095448,0.009593,0.353986,0.39159,,,SimulationMean,B12_1,B12_1
B12_2,0.270468,0.064332,0.006466,0.257795,0.283141,,,SimulationMean,B12_2,B12_2
gamma3_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_2,gamma4_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
P2,0.6582,0.116426,0.011701,0.635266,0.681134,,,SimulationMean,P2,P2
