Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,25,R1d_4,0.61,0.60885,0.019599,0.00197,-0.00115,-0.19,0.019534,1.0,1.0,99,-3.7067,0.5026,0.5274,0.8584,0.6901,0.9269,0.8039,0.7389,0.294,0.706,0.8697,0.8537,0.8865,0.9058,0.877,0.5517,0.5543
two_stage,100,25,R2d_1,0.82,1.178989,1.528891,0.153659,0.358989,43.78,1.562936,1.0,0.0,99,-3.7067,0.5026,0.5274,0.8584,0.6901,0.9269,0.8039,0.7389,0.294,0.706,0.8697,0.8537,0.8865,0.9058,0.877,0.5517,0.5543
two_stage,100,25,R2d_2,0.73,0.707173,0.285349,0.028679,-0.022827,-3.13,0.28482,1.0,0.0,99,-3.7067,0.5026,0.5274,0.8584,0.6901,0.9269,0.8039,0.7389,0.294,0.706,0.8697,0.8537,0.8865,0.9058,0.877,0.5517,0.5543
two_stage,100,25,Q2d_1,0.16,0.197254,0.047778,0.004802,0.037254,23.28,0.060395,1.0,0.0,99,-3.7067,0.5026,0.5274,0.8584,0.6901,0.9269,0.8039,0.7389,0.294,0.706,0.8697,0.8537,0.8865,0.9058,0.877,0.5517,0.5543
two_stage,100,25,Q2d_2,0.12,0.16241,0.03796,0.003815,0.04241,35.34,0.056789,1.0,0.0,99,-3.7067,0.5026,0.5274,0.8584,0.6901,0.9269,0.8039,0.7389,0.294,0.706,0.8697,0.8537,0.8865,0.9058,0.877,0.5517,0.5543
two_stage,100,25,gamma2,-1.17,-0.06447,0.317899,0.03195,1.10553,94.49,1.149885,0.0303,0.0909,99,-3.7067,0.5026,0.5274,0.8584,0.6901,0.9269,0.8039,0.7389,0.294,0.706,0.8697,0.8537,0.8865,0.9058,0.877,0.5517,0.5543
two_stage,100,25,B12_1,0.45,0.372788,0.095448,0.009593,-0.077212,-17.16,0.122393,,,99,-3.7067,0.5026,0.5274,0.8584,0.6901,0.9269,0.8039,0.7389,0.294,0.706,0.8697,0.8537,0.8865,0.9058,0.877,0.5517,0.5543
two_stage,100,25,B12_2,0.22,0.270468,0.064332,0.006466,0.050468,22.94,0.081509,,,99,-3.7067,0.5026,0.5274,0.8584,0.6901,0.9269,0.8039,0.7389,0.294,0.706,0.8697,0.8537,0.8865,0.9058,0.877,0.5517,0.5543
two_stage,100,25,gamma3_1,0.26,0.0,0.0,0.0,-0.26,-100.0,0.26,,,99,-3.7067,0.5026,0.5274,0.8584,0.6901,0.9269,0.8039,0.7389,0.294,0.706,0.8697,0.8537,0.8865,0.9058,0.877,0.5517,0.5543
two_stage,100,25,gamma3_2,-0.83,0.0,0.0,0.0,0.83,100.0,0.83,,,99,-3.7067,0.5026,0.5274,0.8584,0.6901,0.9269,0.8039,0.7389,0.294,0.706,0.8697,0.8537,0.8865,0.9058,0.877,0.5517,0.5543
