Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,3.584224,0.369856,0.037172,3.511367,3.657081,,,SimulationMean,gamma1,gamma1
B11_1,-0.051959,0.072462,0.007283,-0.066234,-0.037684,,,SimulationMean,B11_1,B11_1
B11_2,-0.032603,0.070719,0.007108,-0.046535,-0.018671,,,SimulationMean,B11_2,B11_2
B21_1,-0.250267,0.092236,0.00927,-0.268436,-0.232098,,,SimulationMean,B21_1,B21_1
B21_2,-0.229703,0.090542,0.0091,-0.247539,-0.211867,,,SimulationMean,B21_2,B21_2
B22_1,-0.340588,0.149176,0.014993,-0.369974,-0.311202,,,SimulationMean,B22_1,B22_1
B22_2,-0.182834,0.105691,0.010622,-0.203653,-0.162015,,,SimulationMean,B22_2,B22_2
B31d_1,0.348411,0.095731,0.009621,0.329554,0.367268,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.163164,0.119701,0.01203,0.139585,0.186743,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.38695,0.131848,0.013251,0.360978,0.412922,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.674679,0.057238,0.005753,0.663403,0.685955,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.047829,0.080881,0.008129,0.031896,0.063762,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.077593,0.117938,0.011853,-0.100825,-0.054361,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.230411,0.150065,0.015082,0.20085,0.259972,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.014426,0.066309,0.006664,0.001365,0.027487,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.086516,0.010335,0.001039,0.08448,0.088552,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.052068,0.00942,0.000947,0.050212,0.053924,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.230324,0.012492,0.001256,0.227862,0.232786,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.209294,0.014491,0.001456,0.20644,0.212148,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.160755,0.010651,0.00107,0.158658,0.162852,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.613291,0.023675,0.002379,0.608628,0.617954,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.435791,2.292741,0.230429,0.98415,1.887432,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.905412,1.140625,0.114637,0.680723,1.130101,,,SimulationMean,R2d_2,R2d_2
Q2d_1,0.188464,0.065493,0.006582,0.175563,0.201365,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.15991,0.054024,0.00543,0.149267,0.170553,,,SimulationMean,Q2d_2,Q2d_2
gamma2,-0.092617,0.449582,0.045185,-0.18118,-0.004054,,,SimulationMean,gamma2,gamma2
B12_1,0.38241,0.119981,0.012059,0.358774,0.406046,,,SimulationMean,B12_1,B12_1
B12_2,0.270026,0.099239,0.009974,0.250477,0.289575,,,SimulationMean,B12_2,B12_2
gamma3_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_2,gamma4_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
P2,0.701152,0.194882,0.019586,0.662763,0.739541,,,SimulationMean,P2,P2
