Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\bm{R}_1$,1,0.23,0.0415,0.0447,1.0,0.0437,0.0454,1.0,0.0398,0.0427,1.0,0.0367,0.04,1.0
$\bm{R}_1$,2,0.21,0.0412,0.0442,1.0,0.0449,0.0467,1.0,0.0403,0.0423,1.0,0.0375,0.0409,1.0
$\bm{R}_1$,3,0.16,0.033,0.0347,0.9697,0.0325,0.0335,1.0,0.0301,0.0312,1.0,0.0286,0.0292,1.0
$\bm{R}_1$,4,0.61,0.0285,0.0383,1.0,0.0233,0.0303,1.0,0.0231,0.0303,1.0,0.0211,0.0253,1.0
$\bm{R}_2$,1,0.82,0.9143,2.9368,0.0109,0.1167,0.5724,0.0,1.1452,3.3619,0.0222,0.268,1.4077,0.0
$\bm{R}_2$,2,0.73,0.1648,1.0946,0.0106,0.0234,0.323,0.0,0.2083,1.4138,0.043,0.0447,0.2954,0.0206
