Parameter,Idx,True_Value,"$\mathcal{D}_{50,25}$ Bias","$\mathcal{D}_{50,25}$ RMSE","$\mathcal{D}_{50,25}$ Power","$\mathcal{D}_{100,25}$ Bias","$\mathcal{D}_{100,25}$ RMSE","$\mathcal{D}_{100,25}$ Power","$\mathcal{D}_{50,50}$ Bias","$\mathcal{D}_{50,50}$ RMSE","$\mathcal{D}_{50,50}$ Power","$\mathcal{D}_{100,50}$ Bias","$\mathcal{D}_{100,50}$ RMSE","$\mathcal{D}_{100,50}$ Power"
$\gamma_1$,1,3.5,-4.497,11.9002,0.6737,-6.5433,15.6245,0.7901,-5.0806,13.7686,0.7582,-8.502,17.17,0.8784
$\gamma_2$,1,-1.17,0.2538,7.911,0.0526,0.9471,2.8736,0.0864,-0.7675,14.8848,0.0659,1.0861,2.0014,0.2027
$\bm{\gamma}_3$,1,0.26,-0.26,0.26,NA,-0.26,0.26,NA,-0.26,0.26,NA,-0.26,0.26,NA
$\bm{\gamma}_3$,2,-0.83,0.83,0.83,NA,0.83,0.83,NA,0.83,0.83,NA,0.83,0.83,NA
$\bm{\gamma}_4$,1,-0.74,0.74,0.74,NA,0.74,0.74,NA,0.74,0.74,NA,0.74,0.74,NA
$\bm{\gamma}_4$,2,-0.19,0.19,0.19,NA,0.19,0.19,NA,0.19,0.19,NA,0.19,0.19,NA
$P_{12}$,1,0.0,-0.0,0.0,NA,-0.0,0.0,NA,-0.0,0.0,NA,-0.0,0.0,NA
