Condition,N,Ntrain,Obs_Accuracy,Fore_Accuracy,Obs_Sensitivity,Fore_Sensitivity,Obs_Specificity,Fore_Specificity,Obs_Regime2_Share,Fore_Regime2_Share,Obs_Majority_Acc,Fore_Majority_Acc,Obs_Balanced_Acc,Fore_Balanced_Acc
"$\mathcal{D}_{50,25}$",50,25,0.6513,0.6123,0.541,0.57,0.6963,0.6601,0.2956,0.554,0.7044,0.569,0.6187,0.615
"$\mathcal{D}_{100,25}$",100,25,0.6073,0.5793,0.5329,0.5553,0.6373,0.6043,0.294,0.5517,0.706,0.5543,0.5851,0.5798
"$\mathcal{D}_{50,50}$",50,50,0.6039,0.5873,0.5596,0.5898,0.643,0.5788,0.4577,0.7496,0.5533,0.7496,0.6013,0.5843
"$\mathcal{D}_{100,50}$",100,50,0.5873,0.6474,0.695,0.7383,0.4946,0.3931,0.455,0.7387,0.5495,0.7387,0.5948,0.5657
