Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,50,50,gamma1,1.48,-6.421043,15.583878,1.574209,-7.901043,-533.85,17.401311,0.5663,0.5663,98,-3.6845,0.6445,0.6686,0.4839,0.9302,0.6888,0.7067,0.7082,0.381,0.9948,0.7609
two_stage,50,50,B11_1,-0.05,0.015223,0.082342,0.008318,0.065223,130.45,0.104714,0.1531,0.6429,98,-3.6845,0.6445,0.6686,0.4839,0.9302,0.6888,0.7067,0.7082,0.381,0.9948,0.7609
two_stage,50,50,B11_2,-0.06,0.016106,0.069473,0.007018,0.076106,126.84,0.102807,0.1327,0.7653,98,-3.6845,0.6445,0.6686,0.4839,0.9302,0.6888,0.7067,0.7082,0.381,0.9948,0.7609
two_stage,50,50,B21_1,-0.87,-0.107292,0.177336,0.017914,0.762708,87.67,0.782848,0.0714,0.6224,98,-3.6845,0.6445,0.6686,0.4839,0.9302,0.6888,0.7067,0.7082,0.381,0.9948,0.7609
two_stage,50,50,B21_2,-0.77,-0.074341,0.134692,0.013606,0.695659,90.35,0.708448,0.1122,0.4694,98,-3.6845,0.6445,0.6686,0.4839,0.9302,0.6888,0.7067,0.7082,0.381,0.9948,0.7609
two_stage,50,50,B22_1,-0.92,-0.269115,0.551302,0.05569,0.650885,70.75,0.851166,0.1939,0.7857,98,-3.6845,0.6445,0.6686,0.4839,0.9302,0.6888,0.7067,0.7082,0.381,0.9948,0.7609
two_stage,50,50,B22_2,-0.45,-0.106681,0.233794,0.023617,0.343319,76.29,0.414692,0.1735,0.4694,98,-3.6845,0.6445,0.6686,0.4839,0.9302,0.6888,0.7067,0.7082,0.381,0.9948,0.7609
two_stage,50,50,B31d_1,0.33,0.647666,0.72179,0.072912,0.317666,96.26,0.785224,0.1633,0.8571,98,-3.6845,0.6445,0.6686,0.4839,0.9302,0.6888,0.7067,0.7082,0.381,0.9948,0.7609
two_stage,50,50,B31d_2,0.15,0.716823,0.682679,0.068961,0.566823,377.88,0.884637,0.1649,0.8454,98,-3.6845,0.6445,0.6686,0.4839,0.9302,0.6888,0.7067,0.7082,0.381,0.9948,0.7609
two_stage,50,50,B32d_1,0.31,0.698365,0.285915,0.028882,0.388365,125.28,0.481395,0.2857,0.8061,98,-3.6845,0.6445,0.6686,0.4839,0.9302,0.6888,0.7067,0.7082,0.381,0.9948,0.7609
