Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,100,25,gamma1,1.48,-11.758917,16.040544,1.612135,-13.238917,-894.52,20.735694,0.5312,0.5156,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,B11_1,-0.05,0.007016,0.096576,0.009706,0.057016,114.03,0.11173,0.1414,0.798,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,B11_2,-0.06,0.017945,0.059682,0.005998,0.077945,129.91,0.097987,0.1515,0.8485,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,B21_1,-0.87,-0.083661,0.135284,0.013597,0.786339,90.38,0.797776,0.0505,0.8889,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,B21_2,-0.77,-0.081736,0.13065,0.013131,0.688264,89.38,0.700431,0.0808,0.7475,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,B22_1,-0.92,-0.270669,0.440307,0.044253,0.649331,70.58,0.78329,0.1717,0.8788,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,B22_2,-0.45,-0.127594,0.254729,0.025601,0.322406,71.65,0.410094,0.1212,0.6364,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,B31d_1,0.33,0.706597,0.671053,0.067443,0.376597,114.12,0.766543,0.0714,0.949,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,B31d_2,0.15,0.675238,0.719279,0.07229,0.525238,350.16,0.8877,0.0612,0.949,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,B32d_1,0.31,0.7852,0.236943,0.023814,0.4752,153.29,0.530462,0.202,0.899,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
