Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-7.028054,15.16417,1.547687,-10.061521,-3.994587,,,SimulationMean,gamma1,gamma1
B11_1,-0.000507,0.119459,0.012192,-0.024403,0.023389,,,SimulationMean,B11_1,B11_1
B11_2,0.009071,0.09328,0.00952,-0.009588,0.02773,,,SimulationMean,B11_2,B11_2
B21_1,-0.125595,0.164604,0.0168,-0.158523,-0.092667,,,SimulationMean,B21_1,B21_1
B21_2,-0.082228,0.137568,0.014041,-0.109748,-0.054708,,,SimulationMean,B21_2,B21_2
B22_1,-0.268063,0.323181,0.032985,-0.332714,-0.203412,,,SimulationMean,B22_1,B22_1
B22_2,-0.078965,0.116171,0.011857,-0.102205,-0.055725,,,SimulationMean,B22_2,B22_2
B31d_1,0.560854,0.851378,0.086893,0.390544,0.731164,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.790602,0.846426,0.086388,0.621282,0.959922,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.705265,0.271651,0.027725,0.650924,0.759606,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.947825,0.069668,0.00711,0.933889,0.961761,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.078247,0.366392,0.037395,0.004953,0.151541,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.031992,0.308845,0.031521,-0.093773,0.029789,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.201322,0.201371,0.020552,0.16104,0.241604,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.00456,0.042932,0.004382,-0.004029,0.013149,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.04273,0.02817,0.002875,0.037095,0.048365,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.030793,0.005825,0.000594,0.029629,0.031957,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.263392,0.017296,0.001765,0.259933,0.266851,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.244278,0.017422,0.001778,0.240793,0.247763,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.180738,0.005709,0.000583,0.179595,0.181881,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.623993,0.014621,0.001492,0.621069,0.626917,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.36692,2.256367,0.230289,0.915554,1.818286,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.741329,0.322815,0.032947,0.676753,0.805905,,,SimulationMean,R2d_2,R2d_2
gamma2,1.364234,6.958862,0.710236,-0.027829,2.756297,,,SimulationMean,gamma2,gamma2
B12_1,0.273326,0.343953,0.035105,0.20452,0.342132,,,SimulationMean,B12_1,B12_1
B12_2,0.096943,0.143982,0.014695,0.068141,0.125745,,,SimulationMean,B12_2,B12_2
gamma3_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_2,gamma4_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.061434,0.111764,0.011407,0.039076,0.083792,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.040676,0.078836,0.008046,0.024906,0.056446,,,SimulationMean,Q2d_2,Q2d_2
P2,0.653212,0.120027,0.01225,0.629202,0.677222,,,SimulationMean,P2,P2
