Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-8.87683,14.990136,1.506565,-11.829697,-5.923963,,,SimulationMean,gamma1,gamma1
B11_1,0.028235,0.076131,0.007651,0.013239,0.043231,,,SimulationMean,B11_1,B11_1
B11_2,0.024303,0.061245,0.006155,0.012239,0.036367,,,SimulationMean,B11_2,B11_2
B21_1,-0.079789,0.127753,0.01284,-0.104955,-0.054623,,,SimulationMean,B21_1,B21_1
B21_2,-0.08475,0.158498,0.01593,-0.115973,-0.053527,,,SimulationMean,B21_2,B21_2
B22_1,-0.272138,0.469429,0.047179,-0.364609,-0.179667,,,SimulationMean,B22_1,B22_1
B22_2,-0.120555,0.223118,0.022424,-0.164506,-0.076604,,,SimulationMean,B22_2,B22_2
B31d_1,0.789224,0.492128,0.049461,0.69228,0.886168,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.665422,0.691342,0.069482,0.529237,0.801607,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.755094,0.252366,0.025364,0.705381,0.804807,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.927588,0.130632,0.013129,0.901855,0.953321,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.039344,0.205211,0.020624,-0.001079,0.079767,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.045645,0.262462,0.026378,-0.097346,0.006056,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.176087,0.180466,0.018137,0.140538,0.211636,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.010024,0.052406,0.005267,-0.000299,0.020347,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.041567,0.018648,0.001874,0.037894,0.04524,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.042168,0.009933,0.000998,0.040212,0.044124,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.264587,0.01826,0.001835,0.26099,0.268184,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.244644,0.018041,0.001813,0.241091,0.248197,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.176266,0.010879,0.001093,0.174124,0.178408,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.623276,0.024208,0.002433,0.618507,0.628045,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.949063,3.314318,0.333102,1.296183,2.601943,,,SimulationMean,R2d_1,R2d_1
R2d_2,1.115549,2.041018,0.20513,0.713494,1.517604,,,SimulationMean,R2d_2,R2d_2
gamma2,-1.336553,11.096292,1.115219,-3.522382,0.849276,,,SimulationMean,gamma2,gamma2
B12_1,0.192655,0.196146,0.019713,0.154018,0.231292,,,SimulationMean,B12_1,B12_1
B12_2,0.125661,0.162409,0.016323,0.093668,0.157654,,,SimulationMean,B12_2,B12_2
gamma3_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_2,gamma4_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.042194,0.042539,0.004275,0.033815,0.050573,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.053616,0.032737,0.00329,0.047168,0.060064,,,SimulationMean,Q2d_2,Q2d_2
P2,0.72074,0.215805,0.021689,0.67823,0.76325,,,SimulationMean,P2,P2
