Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-6.421043,15.583878,1.574209,-9.506493,-3.335593,,,SimulationMean,gamma1,gamma1
B11_1,0.015223,0.082342,0.008318,-0.00108,0.031526,,,SimulationMean,B11_1,B11_1
B11_2,0.016106,0.069473,0.007018,0.002351,0.029861,,,SimulationMean,B11_2,B11_2
B21_1,-0.107292,0.177336,0.017914,-0.142403,-0.072181,,,SimulationMean,B21_1,B21_1
B21_2,-0.074341,0.134692,0.013606,-0.101009,-0.047673,,,SimulationMean,B21_2,B21_2
B22_1,-0.269115,0.551302,0.05569,-0.378267,-0.159963,,,SimulationMean,B22_1,B22_1
B22_2,-0.106681,0.233794,0.023617,-0.15297,-0.060392,,,SimulationMean,B22_2,B22_2
B31d_1,0.647666,0.72179,0.072912,0.504758,0.790574,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.716823,0.682679,0.068961,0.581659,0.851987,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.698365,0.285915,0.028882,0.641756,0.754974,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.934356,0.085787,0.008666,0.917371,0.951341,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.042095,0.246945,0.024945,-0.006797,0.090987,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.036494,0.224741,0.022702,-0.08099,0.008002,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.190398,0.203268,0.020533,0.150153,0.230643,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.005058,0.059505,0.006011,-0.006724,0.01684,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.037166,0.021436,0.002165,0.032923,0.041409,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.031276,0.006129,0.000619,0.030063,0.032489,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.266059,0.018864,0.001906,0.262323,0.269795,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.246409,0.016182,0.001635,0.243204,0.249614,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.180546,0.007613,0.000769,0.179039,0.182053,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.624616,0.018769,0.001896,0.6209,0.628332,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.564659,2.603528,0.262996,1.049187,2.080131,,,SimulationMean,R2d_1,R2d_1
R2d_2,1.12053,2.033537,0.205418,0.717911,1.523149,,,SimulationMean,R2d_2,R2d_2
gamma2,-2.453171,11.855974,1.197634,-4.800534,-0.105808,,,SimulationMean,gamma2,gamma2
B12_1,0.26861,0.393181,0.039717,0.190765,0.346455,,,SimulationMean,B12_1,B12_1
B12_2,0.088354,0.089446,0.009035,0.070645,0.106063,,,SimulationMean,B12_2,B12_2
gamma3_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,gamma4_2,gamma4_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.132706,0.766146,0.077392,-0.018982,0.284394,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.03191,0.058375,0.005897,0.020352,0.043468,,,SimulationMean,Q2d_2,Q2d_2
P2,0.691031,0.196526,0.019852,0.652121,0.729941,,,SimulationMean,P2,P2
