Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,100,25,gamma3_1,0.26,0.0,0.0,0.0,-0.26,-100.0,0.26,,,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,gamma3_2,-0.83,0.0,0.0,0.0,0.83,100.0,0.83,,,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,gamma4_1,-0.74,0.0,0.0,0.0,0.74,100.0,0.74,,,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,gamma4_2,-0.19,0.0,0.0,0.0,0.19,100.0,0.19,,,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,Q2d_1,0.16,0.049178,0.046293,0.004653,-0.110822,-69.26,0.120012,,,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,Q2d_2,0.12,0.062842,0.041442,0.004165,-0.057158,-47.63,0.070478,,,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,P2,0.2,0.662588,0.124476,0.01251,0.462588,231.29,0.478879,,,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,LogLikelihood,,-3.7601,0.0393,,,,,,,99,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,25,ConvergenceRate,,0.99,,,,,,,,100,-3.7601,0.6668,0.765,0.2975,0.8401,0.7133,0.7817,0.7949,0.2469,0.9806,0.8166
two_stage,100,50,gamma1,1.48,-7.028054,15.16417,1.547687,-8.508054,-574.87,17.318882,0.4648,0.7324,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B11_1,-0.05,-0.000507,0.119459,0.012192,0.049493,98.99,0.12873,0.1667,0.8125,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B11_2,-0.06,0.009071,0.09328,0.00952,0.069071,115.12,0.115678,0.1042,0.8854,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B21_1,-0.87,-0.125595,0.164604,0.0168,0.744405,85.56,0.762202,0.0312,0.9167,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B21_2,-0.77,-0.082228,0.137568,0.014041,0.687772,89.32,0.701255,0.0625,0.8646,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B22_1,-0.92,-0.268063,0.323181,0.032985,0.651937,70.86,0.726897,0.1458,0.8958,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B22_2,-0.45,-0.078965,0.116171,0.011857,0.371035,82.45,0.388616,0.0938,0.7292,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B31d_1,0.33,0.560854,0.851378,0.086893,0.230854,69.96,0.877831,0.2151,0.8495,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B31d_2,0.15,0.790602,0.846426,0.086388,0.640602,427.07,1.057991,0.1613,0.8387,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B32d_1,0.31,0.705265,0.271651,0.027725,0.395265,127.5,0.478811,0.1979,0.9062,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B32d_2,0.69,0.947825,0.069668,0.00711,0.257825,37.37,0.266978,0.0833,0.9583,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B41d_1,0.11,0.078247,0.366392,0.037395,-0.031753,-28.87,0.365859,0.3118,0.6559,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B41d_2,-0.3,-0.031992,0.308845,0.031521,0.268008,89.34,0.4077,0.1935,0.2688,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B42d_1,0.57,0.201322,0.201371,0.020552,-0.368678,-64.68,0.419585,0.1667,0.9062,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B42d_2,0.01,0.00456,0.042932,0.004382,-0.00544,-54.4,0.043053,0.5417,0.3438,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,Q1d_1,0.08,0.04273,0.02817,0.002875,-0.03727,-46.59,0.04663,0.9896,0.0417,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,Q1d_2,0.05,0.030793,0.005825,0.000594,-0.019207,-38.41,0.020062,1.0,0.0,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,R1d_1,0.23,0.263392,0.017296,0.001765,0.033392,14.52,0.037564,0.8542,1.0,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,R1d_2,0.21,0.244278,0.017422,0.001778,0.034278,16.32,0.03841,0.8333,1.0,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,R1d_3,0.16,0.180738,0.005709,0.000583,0.020738,12.96,0.021502,1.0,1.0,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,R1d_4,0.61,0.623993,0.014621,0.001492,0.013993,2.29,0.020183,0.9792,1.0,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,R2d_1,0.82,1.36692,2.256367,0.230289,0.54692,66.7,2.310255,0.9674,0.0543,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,R2d_2,0.73,0.741329,0.322815,0.032947,0.011329,1.55,0.321329,0.957,0.0645,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,gamma2,-1.17,1.364234,6.958862,0.710236,2.534234,216.6,7.371816,0.4507,0.2676,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
two_stage,100,50,B12_1,0.45,0.273326,0.343953,0.035105,-0.176674,-39.26,0.385078,,,96,-3.6894,0.6722,0.7039,0.4279,0.9269,0.709,0.7349,0.738,0.3054,0.993,0.7794
