Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,3.907849,0.326677,0.032832,3.843498,3.9722,,,SimulationMean,gamma1,gamma1
B11_1,-0.050459,0.069214,0.006956,-0.064093,-0.036825,,,SimulationMean,B11_1,B11_1
B11_2,-0.028312,0.062623,0.006294,-0.040648,-0.015976,,,SimulationMean,B11_2,B11_2
B21_1,-0.260128,0.087957,0.00884,-0.277454,-0.242802,,,SimulationMean,B21_1,B21_1
B21_2,-0.233378,0.082055,0.008247,-0.249542,-0.217214,,,SimulationMean,B21_2,B21_2
B22_1,-0.331493,0.118471,0.011907,-0.354831,-0.308155,,,SimulationMean,B22_1,B22_1
B22_2,-0.166322,0.076974,0.007736,-0.181485,-0.151159,,,SimulationMean,B22_2,B22_2
B31d_1,0.355322,0.076177,0.007656,0.340316,0.370328,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.203556,0.09633,0.009682,0.184579,0.222533,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.397249,0.109933,0.011049,0.375593,0.418905,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.687224,0.039252,0.003945,0.679492,0.694956,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.051908,0.068805,0.006915,0.038355,0.065461,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.078458,0.103222,0.010374,-0.098791,-0.058125,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.239342,0.116399,0.011699,0.216412,0.262272,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.009652,0.040975,0.004118,0.001581,0.017723,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.085244,0.009021,0.000907,0.083466,0.087022,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.052934,0.006366,0.00064,0.05168,0.054188,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.230589,0.009459,0.000951,0.228725,0.232453,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.210133,0.009934,0.000998,0.208177,0.212089,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.160292,0.007594,0.000763,0.158797,0.161787,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.609862,0.018741,0.001884,0.606169,0.613555,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.207989,1.760511,0.176938,0.861191,1.554787,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.966224,1.493921,0.150145,0.67194,1.260508,,,SimulationMean,R2d_2,R2d_2
Q2d_1,0.189144,0.054758,0.005503,0.178358,0.19993,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.146651,0.043189,0.004341,0.138143,0.155159,,,SimulationMean,Q2d_2,Q2d_2
gamma2,-0.105517,0.485352,0.04878,-0.201126,-0.009908,,,SimulationMean,gamma2,gamma2
gamma3_1,-0.73544,1.739074,0.174784,-1.078017,-0.392863,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-1.899046,3.11686,0.313256,-2.513028,-1.285064,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-0.262373,2.249344,0.226068,-0.705466,0.18072,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,-0.016826,3.328468,0.334524,-0.672493,0.638841,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.37669,0.096986,0.009747,0.357586,0.395794,,,SimulationMean,B12_1,B12_1
B12_2,0.249327,0.0702,0.007055,0.235499,0.263155,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
P2,0.675555,0.168482,0.016933,0.642366,0.708744,,,SimulationMean,P2,P2
