Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,3.772675,0.291115,0.029258,3.715329,3.830021,,,SimulationMean,gamma1,gamma1
B11_1,-0.050259,0.052449,0.005271,-0.06059,-0.039928,,,SimulationMean,B11_1,B11_1
B11_2,-0.028852,0.047899,0.004814,-0.038287,-0.019417,,,SimulationMean,B11_2,B11_2
B21_1,-0.256879,0.072691,0.007306,-0.271199,-0.242559,,,SimulationMean,B21_1,B21_1
B21_2,-0.234716,0.071935,0.00723,-0.248887,-0.220545,,,SimulationMean,B21_2,B21_2
B22_1,-0.332741,0.105712,0.010624,-0.353564,-0.311918,,,SimulationMean,B22_1,B22_1
B22_2,-0.166166,0.070064,0.007042,-0.179968,-0.152364,,,SimulationMean,B22_2,B22_2
B31d_1,0.359196,0.0595,0.00598,0.347475,0.370917,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.171375,0.08732,0.008776,0.154174,0.188576,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.398889,0.103513,0.010403,0.378499,0.419279,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.671724,0.045504,0.004573,0.662761,0.680687,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.045884,0.057083,0.005737,0.034639,0.057129,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.074436,0.086883,0.008732,-0.091551,-0.057321,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.235621,0.104513,0.010504,0.215033,0.256209,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.010405,0.04268,0.004289,0.001999,0.018811,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.088569,0.00712,0.000716,0.087166,0.089972,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.054261,0.007219,0.000726,0.052838,0.055684,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.230109,0.008523,0.000857,0.228429,0.231789,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.210326,0.009186,0.000923,0.208517,0.212135,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.160057,0.008134,0.000817,0.158456,0.161658,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.608763,0.019654,0.001975,0.604892,0.612634,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.181368,1.593942,0.160197,0.867382,1.495354,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.695876,0.271903,0.027327,0.642315,0.749437,,,SimulationMean,R2d_2,R2d_2
Q2d_1,0.196494,0.044722,0.004495,0.187684,0.205304,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.164926,0.040592,0.00408,0.156929,0.172923,,,SimulationMean,Q2d_2,Q2d_2
gamma2,-0.015575,0.386066,0.038801,-0.091625,0.060475,,,SimulationMean,gamma2,gamma2
gamma3_1,-0.499328,1.879229,0.18887,-0.869513,-0.129143,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-2.55074,3.109411,0.312508,-3.163256,-1.938224,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-0.499869,1.614573,0.162271,-0.81792,-0.181818,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,-0.277892,3.241415,0.325775,-0.916411,0.360627,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.371777,0.09739,0.009788,0.352593,0.390961,,,SimulationMean,B12_1,B12_1
B12_2,0.266914,0.066987,0.006732,0.253719,0.280109,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
P2,0.659556,0.116885,0.011747,0.636532,0.68258,,,SimulationMean,P2,P2
