Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,3.839542,0.192504,0.019347,3.801622,3.877462,,,SimulationMean,gamma1,gamma1
B11_1,-0.046066,0.057046,0.005733,-0.057303,-0.034829,,,SimulationMean,B11_1,B11_1
B11_2,-0.02758,0.042978,0.004319,-0.036045,-0.019115,,,SimulationMean,B11_2,B11_2
B21_1,-0.260958,0.075114,0.007549,-0.275754,-0.246162,,,SimulationMean,B21_1,B21_1
B21_2,-0.229717,0.065295,0.006562,-0.242579,-0.216855,,,SimulationMean,B21_2,B21_2
B22_1,-0.350281,0.087801,0.008824,-0.367576,-0.332986,,,SimulationMean,B22_1,B22_1
B22_2,-0.162781,0.062017,0.006233,-0.174998,-0.150564,,,SimulationMean,B22_2,B22_2
B31d_1,0.367839,0.063672,0.006399,0.355297,0.380381,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.229458,0.072621,0.007299,0.215152,0.243764,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.411527,0.093094,0.009356,0.393189,0.429865,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.694668,0.025372,0.00255,0.68967,0.699666,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.071542,0.067502,0.006784,0.058245,0.084839,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.074674,0.079803,0.008021,-0.090395,-0.058953,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.263978,0.096862,0.009735,0.244897,0.283059,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.006393,0.031489,0.003165,0.00019,0.012596,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.085491,0.005242,0.000527,0.084458,0.086524,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.053046,0.004963,0.000499,0.052068,0.054024,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.231228,0.006462,0.000649,0.229956,0.2325,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.211281,0.007013,0.000705,0.209899,0.212663,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.160259,0.005291,0.000532,0.159216,0.161302,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.60921,0.013879,0.001395,0.606476,0.611944,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.047688,0.978743,0.098367,0.854889,1.240487,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.730913,0.28656,0.0288,0.674465,0.787361,,,SimulationMean,R2d_2,R2d_2
Q2d_1,0.205421,0.050589,0.005084,0.195456,0.215386,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.146603,0.034835,0.003501,0.139741,0.153465,,,SimulationMean,Q2d_2,Q2d_2
gamma2,-0.093772,0.2493,0.025056,-0.142882,-0.044662,,,SimulationMean,gamma2,gamma2
gamma3_1,-0.407299,1.43712,0.144436,-0.690394,-0.124204,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-1.658146,2.2314,0.224264,-2.097703,-1.218589,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-0.439686,1.226718,0.12329,-0.681334,-0.198038,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,-0.324345,2.167284,0.21782,-0.751272,0.102582,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.37518,0.083212,0.008363,0.358789,0.391571,,,SimulationMean,B12_1,B12_1
B12_2,0.248816,0.053309,0.005358,0.238314,0.259318,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
P2,0.65487,0.120437,0.012104,0.631146,0.678594,,,SimulationMean,P2,P2
