Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,50,50,R1d_3,0.16,0.160292,0.007594,0.000763,0.000292,0.18,0.007561,1.0,0.5253,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,R1d_4,0.61,0.609862,0.018741,0.001884,-0.000138,-0.02,0.018646,1.0,1.0,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,R2d_1,0.82,1.207989,1.760511,0.176938,0.387989,47.32,1.794053,1.0,0.0,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,R2d_2,0.73,0.966224,1.493921,0.150145,0.236224,32.36,1.505011,1.0,0.0,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,Q2d_1,0.16,0.189144,0.054758,0.005503,0.029144,18.22,0.061786,1.0,0.0,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,Q2d_2,0.12,0.146651,0.043189,0.004341,0.026651,22.21,0.050564,1.0,0.0,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,gamma2,-1.17,-0.105517,0.485352,0.04878,1.064483,90.98,1.168893,0.5051,0.0101,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,gamma3_1,0.26,-0.73544,1.739074,0.174784,-0.99544,-382.86,1.996179,0.9899,0.0101,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,gamma3_2,-0.83,-1.899046,3.11686,0.313256,-1.069046,-128.8,3.280175,0.9798,0.0303,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,gamma4_1,-0.74,-0.262373,2.249344,0.226068,0.477627,64.54,2.288355,0.9798,0.0303,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,gamma4_2,-0.19,-0.016826,3.328468,0.334524,0.173174,91.14,3.31614,1.0,0.0,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B12_1,0.45,0.37669,0.096986,0.009747,-0.07331,-16.29,0.121184,,,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,B12_2,0.22,0.249327,0.0702,0.007055,0.029327,13.33,0.075752,,,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,P2,0.2,0.675555,0.168482,0.016933,0.475555,237.78,0.504234,,,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,LogLikelihood,,-3.6387,0.0316,,,,,,,99,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
two_stage,50,50,ConvergenceRate,,0.99,,,,,,,,100,-3.6387,0.5064,0.5418,0.8752,0.821,0.9198,0.9016,0.856,0.4577,0.5533,0.9033,0.9126,0.8678,0.9577,0.9325,0.7496,0.7496
