Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_All_Regime2_Share,Mean_All_Majority_Accuracy,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Observed_Regime2_Share,Mean_Observed_Majority_Accuracy,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score,Mean_Forecast_Regime2_Share,Mean_Forecast_Majority_Accuracy
two_stage,100,25,R1d_4,0.61,0.608763,0.019654,0.001975,-0.001237,-0.2,0.019594,1.0,1.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,R2d_1,0.82,1.181368,1.593942,0.160197,0.361368,44.07,1.626522,1.0,0.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,R2d_2,0.73,0.695876,0.271903,0.027327,-0.034124,-4.67,0.27267,1.0,0.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,Q2d_1,0.16,0.196494,0.044722,0.004495,0.036494,22.81,0.057547,1.0,0.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,Q2d_2,0.12,0.164926,0.040592,0.00408,0.044926,37.44,0.06041,1.0,0.0,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,gamma2,-1.17,-0.015575,0.386066,0.038801,1.154425,98.67,1.21665,0.1717,0.0404,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,gamma3_1,0.26,-0.499328,1.879229,0.18887,-0.759328,-292.05,2.018021,0.9495,0.0606,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,gamma3_2,-0.83,-2.55074,3.109411,0.312508,-1.72074,-207.32,3.540017,0.9596,0.101,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,gamma4_1,-0.74,-0.499869,1.614573,0.162271,0.240131,32.45,1.624246,0.9697,0.0202,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,gamma4_2,-0.19,-0.277892,3.241415,0.325775,-0.087892,-46.26,3.226201,0.9596,0.0404,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B12_1,0.45,0.371777,0.09739,0.009788,-0.078223,-17.38,0.12453,,,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,B12_2,0.22,0.266914,0.066987,0.006732,0.046914,21.32,0.081503,,,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,P2,0.2,0.659556,0.116885,0.011747,0.459556,229.78,0.474042,,,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,LogLikelihood,,-3.7054,0.0271,,,,,,,99,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,25,ConvergenceRate,,0.99,,,,,,,,100,-3.7054,0.5026,0.5274,0.8578,0.6924,0.9251,0.8017,0.739,0.294,0.706,0.8681,0.8565,0.8795,0.9009,0.8762,0.5517,0.5543
two_stage,100,50,gamma1,3.5,3.839542,0.192504,0.019347,0.339542,9.7,0.389836,0.6364,1.0,99,-3.6468,0.5026,0.5274,0.8759,0.8078,0.9314,0.9099,0.8545,0.4554,0.5491,0.9056,0.906,0.9026,0.9642,0.9336,0.739,0.739
