Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,-2.744113,14.150949,1.422224,-5.531672,0.043446,,,SimulationMean,gamma1,gamma1
B11_1,0.041668,0.041771,0.004198,0.03344,0.049896,,,SimulationMean,B11_1,B11_1
B11_2,0.035739,0.044407,0.004463,0.026992,0.044486,,,SimulationMean,B11_2,B11_2
B21_1,-0.058256,0.085585,0.008602,-0.075116,-0.041396,,,SimulationMean,B21_1,B21_1
B21_2,-0.045108,0.078781,0.007918,-0.060627,-0.029589,,,SimulationMean,B21_2,B21_2
B22_1,-0.264954,0.420673,0.042279,-0.347821,-0.182087,,,SimulationMean,B22_1,B22_1
B22_2,-0.082845,0.193145,0.019412,-0.120893,-0.044797,,,SimulationMean,B22_2,B22_2
B31d_1,0.796586,0.357984,0.035979,0.726067,0.867105,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.823585,0.454799,0.045709,0.733995,0.913175,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.741801,0.234838,0.023602,0.695541,0.788061,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.945467,0.09729,0.009778,0.926302,0.964632,,,SimulationMean,B32d_2,B32d_2
B41d_1,0.014017,0.21779,0.021889,-0.028885,0.056919,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.043567,0.186875,0.018782,-0.08038,-0.006754,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.190324,0.189118,0.019007,0.15307,0.227578,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.014678,0.057058,0.005735,0.003437,0.025919,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.048045,0.017797,0.001789,0.044539,0.051551,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.044048,0.008861,0.000891,0.042302,0.045794,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.25927,0.017064,0.001715,0.255909,0.262631,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.239559,0.016575,0.001666,0.236294,0.242824,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.175141,0.009697,0.000975,0.17323,0.177052,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.622522,0.024145,0.002427,0.617765,0.627279,,,SimulationMean,R1d_4,R1d_4
R2d_1,1.849078,3.207957,0.322412,1.21715,2.481006,,,SimulationMean,R2d_1,R2d_1
R2d_2,1.123346,2.025225,0.203543,0.724402,1.52229,,,SimulationMean,R2d_2,R2d_2
gamma2,-6.166879,19.680675,1.977982,-10.043724,-2.290034,,,SimulationMean,gamma2,gamma2
gamma3_1,-29.140598,139.766214,14.047033,-56.672783,-1.608413,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-15.344386,63.796145,6.411754,-27.911424,-2.777348,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,1.860535,104.254896,10.478011,-18.676367,22.397437,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.541247,64.98948,6.531689,-12.260863,13.343357,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.229694,0.201606,0.020262,0.18998,0.269408,,,SimulationMean,B12_1,B12_1
B12_2,0.116996,0.137374,0.013807,0.089934,0.144058,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.037618,0.034987,0.003516,0.030727,0.044509,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.048763,0.020794,0.00209,0.044667,0.052859,,,SimulationMean,Q2d_2,Q2d_2
P2,0.710794,0.197535,0.019853,0.671882,0.749706,,,SimulationMean,P2,P2
