Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,4.5951,0.0,0.0,4.5951,4.5951,,,SimulationMean,gamma1,gamma1
B11_1,-0.094509,0.091653,0.009165,-0.112472,-0.076546,,,SimulationMean,B11_1,B11_1
B11_2,-0.054145,0.092145,0.009215,-0.072206,-0.036084,,,SimulationMean,B11_2,B11_2
B21_1,-0.266666,0.153441,0.015344,-0.29674,-0.236592,,,SimulationMean,B21_1,B21_1
B21_2,-0.253681,0.113148,0.011315,-0.275858,-0.231504,,,SimulationMean,B21_2,B21_2
B22_1,-0.269266,0.196796,0.01968,-0.307839,-0.230693,,,SimulationMean,B22_1,B22_1
B22_2,-0.149922,0.123777,0.012378,-0.174183,-0.125661,,,SimulationMean,B22_2,B22_2
B31d_1,0.691943,0.105194,0.010519,0.671326,0.71256,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.635653,0.103567,0.010357,0.615353,0.655953,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.854648,0.102079,0.010208,0.83464,0.874656,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.964321,0.033827,0.003383,0.95769,0.970952,,,SimulationMean,B32d_2,B32d_2
B41d_1,-0.012483,0.073304,0.00733,-0.02685,0.001884,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.137034,0.072209,0.007221,-0.151187,-0.122881,,,SimulationMean,B41d_2,B41d_2
B42d_1,0.075892,0.061756,0.006176,0.063787,0.087997,,,SimulationMean,B42d_1,B42d_1
B42d_2,-0.001088,0.020246,0.002025,-0.005057,0.002881,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.041422,0.011416,0.001142,0.039184,0.04366,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.021005,0.004925,0.000493,0.020039,0.021971,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.258663,0.008845,0.000884,0.25693,0.260396,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.285782,0.009196,0.00092,0.283979,0.287585,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.275685,0.006443,0.000644,0.274423,0.276947,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.415889,0.009727,0.000973,0.413982,0.417796,,,SimulationMean,R1d_4,R1d_4
R2d_1,0.897548,1.084562,0.108456,0.684974,1.110122,,,SimulationMean,R2d_1,R2d_1
R2d_2,1.057426,1.365196,0.13652,0.789847,1.325005,,,SimulationMean,R2d_2,R2d_2
gamma2,0.34527,0.546845,0.054684,0.238089,0.452451,,,SimulationMean,gamma2,gamma2
gamma3_1,-2.54211,1.236722,0.123672,-2.784507,-2.299713,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,0.346092,2.195576,0.219558,-0.084242,0.776426,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-0.22817,1.323367,0.132337,-0.487551,0.031211,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,0.153702,2.072748,0.207275,-0.252557,0.559961,,,SimulationMean,gamma4_2,gamma4_2
B12_1,0.104238,0.084248,0.008425,0.087725,0.120751,,,SimulationMean,B12_1,B12_1
B12_2,0.087911,0.061991,0.006199,0.075761,0.100061,,,SimulationMean,B12_2,B12_2
P12,0.0,0.0,0.0,0.0,0.0,,,SimulationMean,P12,P12
Q2d_1,0.211058,0.143745,0.014375,0.182883,0.239233,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.098107,0.04755,0.004755,0.088787,0.107427,,,SimulationMean,Q2d_2,Q2d_2
P2,1.283515,0.200317,0.020032,1.244252,1.322778,,,SimulationMean,P2,P2
