Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,100,50,gamma3_1,0.0,0.0,0.0,0.0,0.0,,0.0,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,gamma3_2,0.0,0.0,0.0,0.0,0.0,,0.0,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,gamma4_1,0.0,0.0,0.0,0.0,0.0,,0.0,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,gamma4_2,0.0,0.0,0.0,0.0,0.0,,0.0,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,Q2d_1,0.018546637147665,0.050252,0.061599,0.00616,0.031705,170.95,0.069005,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,Q2d_2,0.0149701051414012,0.039929,0.035429,0.003543,0.024959,166.73,0.043193,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,P2,0.2,0.717076,0.413582,0.041358,0.517076,258.54,0.660838,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,LogLikelihood,,-3.6976,0.0345,,,,,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
two_stage,100,50,ConvergenceRate,,1.0,,,,,,100,-3.6976,0.4356,0.8894,0.2915,0.3327,0.443,0.5349,0.9317,0.2014,0.5249,0.6425
