Method,N,NT_TRAIN,Parameter,True_Value,Mean,SD,SE,Bias,Relative_Bias_pct,RMSE,Coverage_Rate,Power,N_Valid,Mean_All_LL_Best,Mean_Observed_Accuracy,Mean_Observed_Sensitivity,Mean_Observed_Specificity,Mean_Observed_Precision,Mean_Observed_F1_Score,Mean_Forecast_Accuracy,Mean_Forecast_Sensitivity,Mean_Forecast_Specificity,Mean_Forecast_Precision,Mean_Forecast_F1_Score
two_stage,100,25,gamma4_1,-0.74,4.698876,159.609738,16.041382,5.438876,734.98,158.894695,0.9326,0.0449,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,gamma4_2,-0.19,-0.032926,32.632341,3.279674,0.157074,82.67,32.467492,0.931,0.0575,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B12_1,0.45,0.166764,0.155981,0.015677,-0.283236,-62.94,0.322966,,,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,B12_2,0.22,0.078481,0.051381,0.005164,-0.141519,-64.33,0.150469,,,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,P12,1e-12,0.0,0.0,0.0,-0.0,-0.0,0.0,,,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,Q2d_1,0.16,0.050839,0.051434,0.005169,-0.109161,-68.23,0.12056,,,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,Q2d_2,0.12,0.060182,0.042175,0.004239,-0.059818,-49.85,0.073068,,,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,P2,0.2,0.663863,0.132125,0.013279,0.463863,231.93,0.482131,,,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,LogLikelihood,,-3.7588,0.0352,,,,,,,99,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,25,ConvergenceRate,,0.99,,,,,,,,100,-3.7588,0.6719,0.7505,0.371,0.8398,0.7297,0.7776,0.791,0.2635,0.978,0.8314
two_stage,100,50,gamma1,1.48,-3.514748,14.154488,1.437171,-4.994748,-337.48,14.940936,0.5529,0.5529,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B11_1,-0.05,-0.001829,0.111917,0.011363,0.048171,96.34,0.121313,0.1649,0.7938,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B11_2,-0.06,0.02508,0.051859,0.005265,0.08508,141.8,0.099499,0.1134,0.8557,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B21_1,-0.87,-0.132662,0.179377,0.018213,0.737338,84.75,0.758625,0.0515,0.8969,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B21_2,-0.77,-0.069953,0.122457,0.012434,0.700047,90.92,0.710568,0.0103,0.7629,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B22_1,-0.92,-0.229805,0.341369,0.034661,0.690195,75.02,0.769221,0.0619,0.9691,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B22_2,-0.45,-0.057755,0.084798,0.00861,0.392245,87.17,0.401214,0.0206,0.6598,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B31d_1,0.33,0.586813,1.279181,0.129881,0.256813,77.82,1.298225,0.1667,0.8438,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
two_stage,100,50,B31d_2,0.15,0.755707,0.61985,0.062936,0.605707,403.8,0.86437,0.1146,0.8958,97,-3.6861,0.6863,0.7164,0.4472,0.926,0.7402,0.7582,0.7611,0.3203,0.993,0.8161
