Parameter,Estimate,SD,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label
gamma1,4.5951,0.0,0.0,4.5951,4.5951,,,SimulationMean,gamma1,gamma1
B11_1,-0.005657,0.026846,0.002685,-0.01092,-0.000394,,,SimulationMean,B11_1,B11_1
B11_2,0.032836,0.022838,0.002284,0.028359,0.037313,,,SimulationMean,B11_2,B11_2
B21_1,-0.023147,0.036149,0.003615,-0.030232,-0.016062,,,SimulationMean,B21_1,B21_1
B21_2,-0.019201,0.031855,0.003185,-0.025444,-0.012958,,,SimulationMean,B21_2,B21_2
B22_1,-0.017191,0.105774,0.010577,-0.037922,0.00354,,,SimulationMean,B22_1,B22_1
B22_2,-0.032953,0.148411,0.014841,-0.062041,-0.003865,,,SimulationMean,B22_2,B22_2
B31d_1,0.926047,0.024181,0.002418,0.921308,0.930786,,,SimulationMean,B31d_1,B31d_1
B31d_2,0.920685,0.03232,0.003232,0.91435,0.92702,,,SimulationMean,B31d_2,B31d_2
B32d_1,0.85224,0.105997,0.0106,0.831464,0.873016,,,SimulationMean,B32d_1,B32d_1
B32d_2,0.905756,0.074872,0.007487,0.891081,0.920431,,,SimulationMean,B32d_2,B32d_2
B41d_1,-0.003886,0.027781,0.002778,-0.009331,0.001559,,,SimulationMean,B41d_1,B41d_1
B41d_2,-0.014025,0.041915,0.004191,-0.022239,-0.005811,,,SimulationMean,B41d_2,B41d_2
B42d_1,-0.009305,0.102793,0.010279,-0.029452,0.010842,,,SimulationMean,B42d_1,B42d_1
B42d_2,0.025003,0.075416,0.007542,0.010221,0.039785,,,SimulationMean,B42d_2,B42d_2
Q1d_1,0.037802,0.004322,0.000432,0.036955,0.038649,,,SimulationMean,Q1d_1,Q1d_1
Q1d_2,0.024596,0.003323,0.000332,0.023945,0.025247,,,SimulationMean,Q1d_2,Q1d_2
R1d_1,0.258784,0.00883,0.000883,0.257053,0.260515,,,SimulationMean,R1d_1,R1d_1
R1d_2,0.28415,0.010579,0.001058,0.282076,0.286224,,,SimulationMean,R1d_2,R1d_2
R1d_3,0.283409,0.009118,0.000912,0.281621,0.285197,,,SimulationMean,R1d_3,R1d_3
R1d_4,0.395274,0.012907,0.001291,0.392744,0.397804,,,SimulationMean,R1d_4,R1d_4
R2d_1,4.313519,5.340928,0.534093,3.266697,5.360341,,,SimulationMean,R2d_1,R2d_1
R2d_2,0.641385,1.956855,0.195685,0.257842,1.024928,,,SimulationMean,R2d_2,R2d_2
gamma2,-0.262754,1.511227,0.151123,-0.558955,0.033447,,,SimulationMean,gamma2,gamma2
gamma3_1,-0.329517,1.028028,0.102803,-0.531011,-0.128023,,,SimulationMean,gamma3_1,gamma3_1
gamma3_2,-0.112946,2.395224,0.239522,-0.582409,0.356517,,,SimulationMean,gamma3_2,gamma3_2
gamma4_1,-0.274025,1.416814,0.141681,-0.55172,0.00367,,,SimulationMean,gamma4_1,gamma4_1
gamma4_2,-0.717576,4.236529,0.423653,-1.547936,0.112784,,,SimulationMean,gamma4_2,gamma4_2
P12,0.113349,0.275582,0.027558,0.059335,0.167363,,,SimulationMean,P12,P12
B12_1,0.123147,0.099623,0.009962,0.103621,0.142673,,,SimulationMean,B12_1,B12_1
B12_2,0.259056,0.142418,0.014242,0.231142,0.28697,,,SimulationMean,B12_2,B12_2
Q2d_1,0.021789,0.010098,0.00101,0.019809,0.023769,,,SimulationMean,Q2d_1,Q2d_1
Q2d_2,0.024574,0.012341,0.001234,0.022155,0.026993,,,SimulationMean,Q2d_2,Q2d_2
P2,0.716651,0.519899,0.05199,0.614751,0.818551,,,SimulationMean,P2,P2
