Parameter,Estimate,SE,CI_Lower,CI_Upper,P_Value,Z_Score,Type,Pretty_Parameter,Parameter_Label,SD
B12_2,0.45,0.09,,,,,Kelava,B12_2,B12_2,0.09
B22_2,-0.92,0.19,,,,,Kelava,B22_2,B22_2,0.19
B32d_2,0.31,0.06,,,,,Kelava,B32d_2,B32d_2,0.06
B42d_2,0.57,0.13,,,,,Kelava,B42d_2,B42d_2,0.13
B12_3,0.22,0.08,,,,,Kelava,B12_3,B12_3,0.08
B22_3,-0.45,0.16,,,,,Kelava,B22_3,B22_3,0.16
B32d_3,0.69,0.06,,,,,Kelava,B32d_3,B32d_3,0.06
B42d_3,0.01,0.11,,,,,Kelava,B42d_3,B42d_3,0.11
B12_4,0.45,0.1,,,,,Kelava,B12_4,B12_4,0.1
B22_4,-0.7,0.17,,,,,Kelava,B22_4,B22_4,0.17
B32d_4,0.38,0.07,,,,,Kelava,B32d_4,B32d_4,0.07
B42d_4,0.25,0.12,,,,,Kelava,B42d_4,B42d_4,0.12
B12_5,0.51,0.1,,,,,Kelava,B12_5,B12_5,0.1
B22_5,-0.62,0.17,,,,,Kelava,B22_5,B22_5,0.17
B32d_5,0.48,0.06,,,,,Kelava,B32d_5,B32d_5,0.06
B42d_5,0.2,0.11,,,,,Kelava,B42d_5,B42d_5,0.11
B12_6,0.3,0.08,,,,,Kelava,B12_6,B12_6,0.08
B22_6,-0.21,0.15,,,,,Kelava,B22_6,B22_6,0.15
B32d_6,0.52,0.07,,,,,Kelava,B32d_6,B32d_6,0.07
B42d_6,0.05,0.14,,,,,Kelava,B42d_6,B42d_6,0.14
B12_7,0.14,0.07,,,,,Kelava,B12_7,B12_7,0.07
B22_7,-0.17,0.18,,,,,Kelava,B22_7,B22_7,0.18
B32d_7,0.63,0.06,,,,,Kelava,B32d_7,B32d_7,0.06
B42d_7,0.27,0.11,,,,,Kelava,B42d_7,B42d_7,0.11
